"id","kind","source_section","target_sprint","summary","primary_verification"
"PRD-03","production","19","3","Production trend by day and shift","Grouped API test"
"PRD-04","production","19","3","Backend filters for factory line machine product and shift","Filter integration tests"
"PRD-05","production","19","3","Output per hour when planned minutes exist","Formula unit test"
"PRD-06","production","19","3","Production detail shows import source and created time","API and UI test"
"ENE-01","energy","20","2","Store energy at machine or line level and reject neither","Energy import integration"
"ENE-02","energy","20","3","Total selected-period energy","Aggregation test"
"ENE-03","energy","20","3","Energy per unit from matching energy and production aggregates","Formula and integration tests"
"ENE-04","energy","20","3","Top ten machines by energy and energy per unit","Sorted API test"
"ENE-05","energy","20","4","Threshold and z-score energy anomalies","Known anomaly fixture"
"ENE-06","energy","20","3","Energy KPI CSV export","Export content test"
"EC-01","energy_rule","20.1","3","Avoid line and machine duplicate aggregation","Aggregation fixture"
"EC-02","energy_rule","20.1","3","Energy per unit is N A for zero or missing units","Formula edge tests"
"EC-03","energy_rule","20.1","4","Machine-shift baseline uses previous 30 valid periods with minimum 10","Baseline boundary tests"
"EC-04","energy_rule","20.1","4","Under 10 periods use absolute threshold and LOW quality","Baseline boundary test"
"DTS-01","downtime_scrap","21","2","Store downtime with machine shift period minutes and reason","Downtime import integration"
"DTS-02","downtime_scrap","21","3","Aggregate downtime by machine line shift and reason","Aggregation tests"
"DTS-03","downtime_scrap","21","3","Downtime Pareto by reason","Pareto API test"
"DTS-04","downtime_scrap","21","2","Store scrap with machine product shift category and count","Scrap import integration"
"DTS-05","downtime_scrap","21","3","Calculate approved scrap rate","Formula edge tests"
"DTS-06","downtime_scrap","21","4","Detect abnormal scrap and recurring downtime","Detector fixture tests"
"MNT-01","maintenance","22","4","Authorized manual ticket creation","API and UI integration"
"MNT-02","maintenance","22","4","Convert anomaly into linked ticket","Workflow E2E"
"MNT-03","maintenance","22","4","Enforce approved ticket status transitions","Policy tests"
"MNT-04","maintenance","22","4","Resolution requires note","Validation test"
"MNT-05","maintenance","22","4","Priority enum low medium high critical","Schema and validation tests"
"MNT-06","maintenance","22","4","Assigned technician sees own tickets first","Sorting integration test"
"MNT-07","maintenance","22","4","Comments append-only and audited","API and audit tests"
"AN-01","analytics","23.3","4","Run analytics after successful imports","Post-commit integration"
"AN-02","analytics","23.3","4","Admin can rerun analytics idempotently for date range","Rerun integration test"
"AN-03","analytics","23.3","4","Store explanation baseline observed value and method","Anomaly detail test"
"AN-04","analytics","23.3","4","Approved anomaly statuses and audited changes","Transition and audit tests"
"AN-05","analytics","23.3","4","Versioned deterministic recommendation templates","Exact-output tests"
"REP-01","reporting","26.2","5","Store report metadata and filters","Report-run integration"
"REP-02","reporting","26.2","5","PDF includes decision-support calculation note","PDF content test"
"REP-03","reporting","26.2","5","Generate PDF server-side in Java","Architecture and report test"
"REP-04","reporting","26.2","5","Authorize report downloads","Security integration test"
"REP-05","reporting","26.2","5","CSV export matches report evidence","Export comparison test"
"NFR-01","non_functional","28","0","Java 25 Spring Boot 4.1 Compose startup and health","Compose acceptance"
"NFR-02","non_functional","28","5","Dashboard under 2s demo and 5s for 500k measurements","Performance test"
"NFR-03","non_functional","28","5","Import 100k rows within 3 minutes","Benchmark"
"NFR-04","non_functional","28","5","Support 25 concurrent authenticated users without 5xx","Load test"
"NFR-05","non_functional","28","0","Structured JSON pilot logs with trace and user context","Log integration test"
"NFR-06","non_functional","28","5","No stack traces or internal class names in errors","Security test"
"NFR-07","non_functional","28","5","Current Chrome Edge and Firefox usability","Browser smoke"
"NFR-08","non_functional","28","0","One Maven verify command covers backend quality gate","CI run"
"TEST-01","test_requirement","30.2","3","KPI unit tests for normal and edge cases","Backend test report"
"TEST-02","test_requirement","30.2","2","Valid and invalid fixtures for every CSV template","Import test report"
"TEST-03","test_requirement","30.2","all","Authorization tests for every controller","Security matrix"
"TEST-04","test_requirement","30.2","0","Liquibase migrations tested on empty PostgreSQL Testcontainer","Migration CI test"
"TEST-05","test_requirement","30.2","4","Deterministic recommendation outputs","Exact-output tests"
"ACC-01","acceptance","31.1","5","System starts locally with Docker Compose","Startup evidence"
"ACC-02","acceptance","31.1","5","Admin logs in and creates master data","Demo walkthrough"
"ACC-03","acceptance","31.1","5","Four valid CSV types import successfully","Import history and counts"
"ACC-04","acceptance","31.1","5","Invalid CSVs reject with row-level errors","Error UI and API evidence"
"ACC-05","acceptance","31.1","5","Dashboard KPIs match prepared expected results","Fixture comparison"
"ACC-06","acceptance","31.1","5","Known energy anomaly is detected","Anomaly record evidence"
"ACC-07","acceptance","31.1","5","Anomaly converts into maintenance ticket","Linked workflow evidence"
"ACC-08","acceptance","31.1","5","Monthly PDF is generated and downloadable","PDF and report-run evidence"
"ACC-09","acceptance","31.1","5","Backend enforces role permissions","Security test report"
"ACC-10","acceptance","31.1","5","Required import role and ticket audit events exist","Audit view and database evidence"

